Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 80.23, -1.27,-1.56, 4149351, -.9,
ADBE, Adobe Systems Incorporated, 254.68, -3.91,-1.51, 2162778, -1.7,
ALXN, Alexion Pharmaceuticals Inc., 134.58, -1.29,-0.95, 1131678, -.3,
ALGN, Align Technology Inc., 362.28, -1.17,-0.32, 399989, -.1,
GOOG, Alphabet Inc., 1183.86, -4.96,-0.42, 1052942, -1.5,
GOOGL, Alphabet Inc., 1196.51, -7.91,-0.66, 1335063, -2.1,
AMZN, Amazon.com Inc., 1822.49, 9.46,0.52, 5433121, 4.1,
AAL, American Airlines Group Inc., 37.28, 0.16,0.43, 5358399, .1,
AMGN, Amgen Inc., 194.88, -1.03,-0.53, 1824843, -.6,
ADI, Analog Devices Inc., 97.64, -0.48,-0.49, 1379978, -.2,
AAPL, Apple Inc., 190.91, -0.42,-0.22, 15020994, -1.8,
AMAT, Applied Materials Inc., 46.31, 0.18,0.39, 7227846, .2,
ASML, ASML Holding N.V., 200.08, 0.89,0.45, 1153464, .1,
ADSK, Autodesk Inc., 136.24, -0.97,-0.71, 898858, -.2,
ADP, Automatic Data Processing Inc., 137.12, -0.22,-0.16, 1021215, -.1,
BIDU, Baidu Inc., 267.08, -0.11,-0.04, 1513777, .0,
BIIB, Biogen Inc., 353.03, 4.55,1.31, 1458078, .9,
BMRN, BioMarin Pharmaceutical Inc., 102.73, -0.88,-0.85, 942669, -.1,
BKNG, Booking Holdings Inc., 2020, -11.44,-0.56, 411173, -.5,
AVGO, Broadcom Inc., 203.25, 0.79,0.39, 10215031, .3,
CA, CA Inc., 44.05, -0.01,-0.02, 8838756, .0,
CDNS, Cadence Design Systems Inc., 45.07, -0.22,-0.49, 756557, -.1,
CELG, Celgene Corporation, 85.23, -0.46,-0.54, 4853048, -.3,
CERN, Cerner Corporation, 61.03, -0.44,-0.72, 1188468, -.1,
CHTR, Charter Communications Inc., 304.19, -0.65,-0.21, 706927, -.1,
CHKP, Check Point Software Technologies Ltd., 108.97, -0.34,-0.31, 798264, -.1,
CTAS, Cintas Corporation, 192.5, -3.21,-1.64, 512013, -.3,
CSCO, Cisco Systems Inc., 42.5, 0.72,1.72, 24451175, 3.0,
CTXS, Citrix Systems Inc., 109.97, 0.2,0.18, 944242, .0,
CTSH, Cognizant Technology Solutions Corporation, 81.96, 0.25,0.31, 3032071, .1,
CMCSA, Comcast Corporation, 34.97, 0.27,0.78, 22864724, 1.1,
COST, Costco Wholesale Corporation, 214.85, -1.69,-0.78, 2078168, -.7,
CSX, CSX Corporation, 64, -0.71,-1.1, 8317468, -.6,
CTRP, Ctrip.com International Ltd., 44.37, -0.63,-1.4, 3121512, -.3,
XRAY, DENTSPLY SIRONA Inc., 44.72, -0.63,-1.39, 2619001, -.1,
DISH, DISH Network Corporation, 32.76, -0.83,-2.47, 2989398, -.2,
DLTR, Dollar Tree Inc., 86.09, -0.66,-0.76, 1629213, -.1,
EBAY, eBay Inc., 37.73, 0.12,0.32, 11576788, .1,
EA, Electronic Arts Inc., 146.68, -2.05,-1.38, 1917670, -.6,
EXPE, Expedia Group Inc., 126.66, -0.29,-0.23, 898147, .0,
ESRX, Express Scripts Holding Company, 80.93, -0.55,-0.68, 1982215, -.3,
FB, Facebook Inc., 207.23, -0.09,-0.04, 10896918, -.2,
FAST, Fastenal Company, 55.43, 0.19,0.34, 2796154, .1,
FISV, Fiserv Inc., 76.87, -0.58,-0.75, 979328, -.2,
GILD, Gilead Sciences Inc., 77.26, -0.12,-0.16, 3085949, -.1,
HAS, Hasbro Inc., 94.35, -2.17,-2.25, 2469611, -.2,
HSIC, Henry Schein Inc., 74.08, -0.78,-1.04, 691475, -.1,
HOLX, Hologic Inc., 41.09, -0.92,-2.19, 1184542, -.2,
IDXX, IDEXX Laboratories Inc., 237.92, -0.23,-0.1, 253693, .0,
ILMN, Illumina Inc., 301.99, -5,-1.63, 694928, -.7,
INCY, Incyte Corporation, 70.11, -0.08,-0.11, 1139373, .0,
INTC, Intel Corporation, 52.01, -0.21,-0.4, 15944520, -.9,
INTU, Intuit Inc., 214.46, 0.75,0.35, 623307, .2,
ISRG, Intuitive Surgical Inc., 518.06, -6.28,-1.2, 798653, -.6,
JBHT, J.B. Hunt Transport Services Inc., 121.13, -0.7,-0.57, 4855818, -.1,
JD, JD.com Inc., 38.04, -0.23,-0.6, 6265989, -.2,
KLAC, KLA-Tencor Corporation, 104.16, -0.7,-0.67, 903905, -.1,
LRCX, Lam Research Corporation, 171.79, 0,0, 1873362, .0,
LBTYA, Liberty Global plc, 28.81, -0.58,-1.97, 1249784, -.1,
LBTYK, Liberty Global plc, 27.95, -0.38,-1.34, 3354283, -.2,
MAR, Marriott International, 130.79, -0.22,-0.17, 1444093, -.1,
MXIM, Maxim Integrated Products Inc., 60.67, 0,0, 1256512, .0,
MELI, MercadoLibre Inc., 343.25, 15.57,4.75, 1028855, .6,
MCHP, Microchip Technology Incorporated, 94.11, 0.08,0.09, 1080459, .0,
MU, Micron Technology Inc., 56.15, -0.2,-0.35, 25647730, -.2,
MSFT, Microsoft Corporation, 104.91, -0.52,-0.49, 21760314, -3.5,
MDLZ, Mondelez International Inc., 42.31, -0.52,-1.21, 6823783, -.7,
MNST, Monster Beverage Corporation, 61.07, -0.14,-0.23, 1460555, -.1,
MYL, Mylan N.V., 36.4, -0.18,-0.49, 1748895, -.1,
NTES, NetEase Inc., 268.07, 1.96,0.74, 506042, .1,
NFLX, Netflix Inc., 400.48, 4.68,1.18, 22371155, 1.8,
NVDA, NVIDIA Corporation, 248.2, -1.12,-0.45, 4905420, -.6,
ORLY, O'Reilly Automotive Inc., 285.32, -0.68,-0.24, 624824, -.1,
PCAR, PACCAR Inc., 62.57, -0.88,-1.39, 1836535, -.3,
PAYX, Paychex Inc., 69.98, -0.56,-0.79, 2509132, -.2,
PYPL, PayPal Holdings Inc., 87.77, -0.22,-0.25, 4451266, -.2,
QCOM, QUALCOMM Incorporated, 58.35, -0.04,-0.07, 5906204, -.1,
QRTEA, Qurate Retail Inc., 21.99, 0.04,0.18, 1961584, .0,
REGN, Regeneron Pharmaceuticals Inc., 364.75, -2.89,-0.79, 596403, -.3,
ROST, Ross Stores Inc., 85.14, -0.02,-0.02, 1661956, .0,
STX, Seagate Technology PLC, 58.45, -0.57,-0.97, 1240663, -.1,
SHPG, Shire plc, 172.06, -0.82,-0.47, 489507, -.1,
SIRI, Sirius XM Holdings Inc., 7.04, -0.06,-0.85, 10467708, -.2,
SWKS, Skyworks Solutions Inc., 99.76, 0.16,0.16, 1476267, .0,
SBUX, Starbucks Corporation, 50.94, -0.68,-1.32, 16962819, -.8,
SYMC, Symantec Corporation, 21.55, -0.12,-0.55, 5340873, -.1,
SNPS, Synopsys Inc., 91.49, 0.08,0.09, 864334, .0,
TMUS, T-Mobile US Inc., 61.63, -0.05,-0.08, 1694825, .0,
TTWO, Take-Two Interactive Software Inc., 125.89, -0.46,-0.36, 1060122, -.1,
TSLA, Tesla Inc., 310.1, -8.77,-2.75, 7806815, -1.3,
TXN, Texas Instruments Incorporated, 114.56, -0.58,-0.5, 3009691, -.5,
KHC, The Kraft Heinz Company, 62.64, -1.21,-1.9, 4149340, -1.3,
FOX, Twenty-First Century Fox Inc., 46.41, -0.78,-1.65, 6315885, -.6,
FOXA, Twenty-First Century Fox Inc., 46.71, -0.85,-1.79, 18565900, -.8,
ULTA, Ulta Beauty Inc., 255.5, -4.37,-1.68, 864854, -.2,
VRSK, Verisk Analytics Inc., 112.01, -1.03,-0.91, 765903, -.2,
VRTX, Vertex Pharmaceuticals Incorporated, 181.22, 0.72,0.4, 1960414, .2,
VOD, Vodafone Group Plc, 24.22, 0.06,0.25, 3123074, .0,
WBA, Walgreens Boots Alliance Inc., 65.16, -0.01,-0.02, 8619103, .0,
WDC, Western Digital Corporation, 78.43, -1.09,-1.37, 2174683, -.3,
WDAY, Workday Inc., 132.88, -1.88,-1.4, 1302294, -.2,
WYNN, Wynn Resorts Limited, 166.03, 0.79,0.48, 1372974, .1,
XLNX, Xilinx Inc., 67.72, -0.27,-0.4, 816014, -.1,
